ID NUTS YYYY MM 0 BAREA
418 CY000 2002 02 4 0.231972
419 CY000 2002 03 4 0.958884
420 CY000 2002 04 3 0.0165195
421 CY000 2002 05 3 27.1889
422 CY000 2002 06 3 115.975
423 CY000 2002 07 3 59.9245
424 CY000 2002 08 3 863.556
425 CY000 2002 09 3 184.671
426 CY000 2002 10 3 374.937
427 CY000 2002 11 3 139.895
428 CY000 2002 12 4 0.32389
429 CY000 2003 04 4 1.47138
430 CY000 2003 05 4 123.587
431 CY000 2003 06 4 101.362
432 CY000 2003 07 4 392.476
433 CY000 2003 08 4 511.32
434 CY000 2003 09 4 210.032
435 CY000 2003 10 4 681.85
436 CY000 2003 11 4 34.2503
437 CY000 2003 12 4 3.02977
438 CY000 2004 02 3 0.955392
439 CY000 2004 03 3 6.49885
440 CY000 2004 04 3 10.9706
441 CY000 2004 05 3 296.32
442 CY000 2004 06 3 403.587
443 CY000 2004 07 3 164.836
444 CY000 2004 08 3 59.2979
445 CY000 2004 09 3 91.8522
446 CY000 2004 10 3 93.4021
447 CY000 2004 11 3 9.49625
448 CY000 2004 12 2 0.278038
449 CY000 2005 01 2 4.33947
450 CY000 2005 02 2 0.129616
451 CY000 2005 03 2 14.916
452 CY000 2005 04 3 21.183
453 CY000 2005 05 3 398.663
454 CY000 2005 06 3 869.019
455 CY000 2005 07 3 30.7432
456 CY000 2005 08 3 343.746
457 CY000 2005 09 3 33.1192
458 CY000 2005 10 3 58.553
459 CY000 2005 11 3 23.5366
460 CY000 2005 12 4 0.0628105
461 CY000 2006 02 3 0.587406
462 CY000 2006 03 3 83.1106
463 CY000 2006 04 5 0.967452
464 CY000 2006 05 5 282.391
465 CY000 2006 06 5 358.534
466 CY000 2006 07 5 261.244
467 CY000 2006 08 5 40.6708
468 CY000 2006 09 5 195.93
469 CY000 2006 10 5 14.6292
470 CY000 2006 12 3 0.845538
471 CZ010 2006 05 4 0.023707
472 CZ010 2006 07 4 0.0753943
473 CZ010 2006 09 3 0.0131662
474 CZ020 2004 03 2 24.0416
475 CZ020 2006 01 2 0.00492811
476 CZ020 2006 04 2 10.8473
477 CZ020 2006 05 2 18.1471
478 CZ020 2006 06 2 3.5218
479 CZ020 2006 07 2 10.1153
480 CZ020 2006 08 2 0.0108734
481 CZ020 2006 09 2 1.43463
482 CZ020 2006 10 2 0.117046
483 CZ020 2006 11 2 0.166974
484 CZ020 2006 12 2 0.00132759
