"x","y"
604143.096034775,4840275.24580902
604141.655262879,4840367.65058585
604119.41908794,4840367.30391462
604116.531167811,4840552.55775969
604161.092393489,4840557.80729342
604160.681876036,4840584.12933719
604281.123927262,4840586.00883664
604294.900242364,4840586.22395465
604295.382398136,4840555.34830753
604340.175770468,4840556.04795173
604341.137018713,4840494.51878811
604385.93080433,4840495.21873222
604386.413367011,4840464.34308874
604431.287924963,4840465.04459277
604431.770692694,4840434.16895043
604498.720298781,4840435.21609921
604498.237221444,4840466.09174202
604520.714783304,4840466.44346252
604520.231599545,4840497.31910694
604542.628493207,4840497.66964221
604542.148680312,4840528.32316124
604564.545471258,4840528.67377181
604564.062075414,4840559.5494194
604586.458762904,4840559.90010525
604585.491756634,4840621.65140502
604607.888237079,4840622.00216632
604607.404626652,4840652.8778185
604629.801003634,4840653.2286551
604628.353326773,4840745.63349368
604650.749393882,4840745.98440588
604650.265566405,4840776.8600641
604694.896371756,4840777.55958833
604694.4088531,4840808.65737533
604716.804712647,4840809.00851271
604716.320570197,4840839.88417425
604872.929744587,4840842.34171053
604873.41461136,4840811.46604788
604895.810471819,4840811.81778578
604896.298928658,4840780.71999735
604918.694893562,4840781.07181023
604919.665028979,4840719.32049143
604942.061201153,4840719.67237912
604942.542878309,4840689.01884876
604987.335428676,4840689.72284923
604987.820800929,4840658.84719292
605054.848813047,4840659.90122213
605055.820170072,4840598.14991288
605078.216756506,4840598.5022502
605078.702534864,4840567.62659754
605123.495915237,4840568.33149727
605123.981898262,4840537.45584572
605146.378692196,4840537.80840813
605145.892605594,4840568.68405983
605168.289296066,4840569.03669752
605166.344510451,4840692.53931923
605188.740786729,4840692.8920327
605186.795546951,4840816.39467791
605209.030287708,4840816.74492882
605208.5438687,4840847.62059385
605230.9396273,4840847.97345783
605229.973575061,4840909.28053828
605364.346895038,4840911.39930189
605364.834044073,4840880.52363292
605409.464238984,4840881.22794502
605409.944579689,4840850.79653134
605432.340339326,4840851.15007099
605432.827793408,4840820.27440437
605455.223656746,4840820.62801899
605456.202272148,4840758.65456264
605478.598343505,4840759.00825208
605482.008359025,4840543.10077058
605459.611563361,4840542.74708225
605461.070646568,4840450.34225605
605438.673541031,4840449.98864334
605440.619706067,4840326.70818663
605507.89283029,4840327.77052092
605506.92439494,4840389.07755695
605529.321708716,4840389.43139501
605528.342528988,4840451.40481792
605550.739634989,4840451.75873144
605549.763747702,4840513.51003343
605572.160646662,4840513.8640224
605571.188053409,4840575.3932034
605593.343055151,4840575.74344658
605591.390406507,4840699.24608038
605569.235814608,4840698.89583657
605568.751259934,4840729.54937135
605590.905750107,4840729.89961531
605590.171088927,4840791.6547649
605612.405935326,4840792.00635752
605611.425860297,4840853.97981896
605589.191220312,4840853.62822602
605588.710062501,4840884.05964095
605610.944601129,4840884.41123405
605609.964511079,4840946.38470409
605587.730178867,4840946.03311067
605587.000312955,4840976.90496286
605564.846642499,4840976.55471763
605564.358554072,4841007.43039234
605541.963310916,4841007.07640082
605541.47356822,4841038.06314039
605519.078429133,4841037.70922385
605518.107919108,4841099.12738901
605495.712986195,4841098.77354728
605495.225198548,4841129.64922724
605450.354983303,4841128.94049674
605449.867400706,4841159.8161778
605427.472675309,4841159.46256144
605426.50121689,4841220.99180027
605381.953846775,4841220.28860629
605381.466566354,4841251.16429116
605358.991595877,4841250.80962785
605358.504416923,4841281.68531396
605336.1101056,4841281.33199695
605334.643608239,4841374.29225437
605289.85560971,4841373.5858448
605288.890607716,4841434.78191077
605266.496813947,4841434.42881838
605266.004781383,4841465.63770339
605243.611092439,4841465.28468597
605243.124413979,4841496.16038133
605220.730828738,4841495.80743888
605220.24425138,4841526.68313549
605175.618392619,4841525.9800135
605175.13551831,4841556.63358391
605152.742139854,4841556.28086602
605152.25586757,4841587.156565
605107.469318199,4841586.4513543
605106.983250614,4841617.32705442
605084.590079691,4841616.97456161
605083.618144248,4841678.72596581
