NUTS YYYY MM 0 BAREA
CZ061 2006 06 4 0.341234
CZ061 2006 07 4 2.99631
CZ061 2006 09 4 0.533612
CZ061 2006 10 4 0.164172
CZ061 2006 11 3 0.0755874
CZ061 2006 12 4 0.0398106
CZ062 2006 04 3 0.547727
CZ062 2006 05 2 0.0134157
CZ062 2006 07 2 1.62121
CZ062 2006 09 3 0.89482
CZ062 2006 10 3 4.11491
CZ062 2006 12 2 0.00152595
CZ071 2006 04 2 7.06965
CZ071 2006 06 2 0.00274927
CZ071 2006 07 2 1.31209
CZ071 2006 08 3 0.0133259
CZ071 2006 09 3 0.197024
CZ071 2006 10 2 0.0410324
CZ072 2006 04 2 0.224868
CZ072 2006 07 5 1.48377
CZ072 2006 09 2 0.171342
CZ072 2006 10 2 0.00245432
CZ080 2006 04 2 9.4722
CZ080 2006 06 3 1.14109
CZ080 2006 07 3 3.12406
CZ080 2006 08 2 0.00515456
CZ080 2006 09 2 0.0758536
CZ080 2006 10 2 1.98264
DE122 2006 03 2 0.0938842
DE122 2006 04 4 0.0366267
DE124 2006 05 2 0.124872
DE128 2006 04 2 0.139624
DE128 2006 06 4 0.725333
DE133 2006 07 2 0.0855255
DE133 2006 09 2 0.106198
DE134 2006 06 2 0.108214
DE134 2006 10 2 0.052098
DE139 2006 04 2 3.5739
DE13A 2006 05 3 0.58272
DE13A 2006 07 4 0.676899
DE13A 2006 08 3 0.528195
DE13A 2006 10 2 0.216715
DE411 2006 07 3 3.44542
DE412 2006 04 2 0.054478
DE412 2006 05 5 0.691057
DE412 2006 06 3 0.107348
DE412 2006 07 3 1.93305
DE412 2006 08 2 0.214044
DE412 2006 09 2 0.219423
DE413 2006 04 3 0.102182
DE413 2006 05 5 0.815426
DE413 2006 07 5 7.32987
DE413 2006 09 2 0.299483
DE413 2006 10 2 0.134471
DE413 2006 11 2 0.00139426
DE414 2006 05 5 1.88579
DE414 2006 06 3 0.470848
DE414 2006 07 4 11.9673
DE414 2006 08 2 0.0490289
DE414 2006 09 3 0.694654
DE415 2006 05 4 0.535989
DE415 2006 06 4 1.54183
DE415 2006 07 4 45.7763
DE415 2006 09 3 2.31642
DE416 2006 05 3 0.148617
DE416 2006 07 2 0.398726
DE417 2006 06 2 0.13546
DE417 2006 07 3 0.30921
DE418 2006 05 4 1.53076
DE418 2006 07 4 24.0147
DE421 2006 07 3 1.45406
DE422 2006 07 5 2.55061
DE422 2006 08 4 0.0187947
