global_unique_identifier,latitude,longitude,scientific_name,observation_date,effort_distance_km,effort_area_ha,cartodb_id,created_at,updated_at
URN:CornellLabOfOrnithology:EBIRD:OBS89976548,0.0169841,-78.6738,Lepidocolaptes lacrymiger,8/10/03,,,222073,2015-02-18 10:19:10.107835+00,2015-02-24 16:54:27.802396+00
URN:CornellLabOfOrnithology:EBIRD:OBS89975921,0.0169841,-78.6738,Lepidocolaptes lacrymiger,8/2/03,,,222087,2015-02-18 10:19:10.107835+00,2015-02-24 16:54:27.802396+00
URN:CornellLabOfOrnithology:EBIRD:OBS91491017,10.4412579,-67.2922869,Lepidocolaptes lacrymiger,1/21/85,1.609,,222166,2015-02-18 10:19:10.107835+00,2015-02-24 16:54:27.802396+00
URN:CornellLabOfOrnithology:EBIRD:OBS134424059,-11.4566043,-74.7804142,Lepidocolaptes lacrymiger,6/28/05,,,225212,2015-02-18 10:19:10.107835+00,2015-02-24 16:54:27.802396+00
URN:CornellLabOfOrnithology:EBIRD:OBS208008369,-0.6229469,-77.8381348,Lepidocolaptes lacrymiger,11/28/05,,,225808,2015-02-18 10:19:10.107835+00,2015-02-24 16:54:27.802396+00
URN:CornellLabOfOrnithology:EBIRD:OBS223217509,-0.0222688,-78.736835,Lepidocolaptes lacrymiger,3/22/05,16.093,,226063,2015-02-18 10:19:10.107835+00,2015-02-24 16:54:27.802396+00
URN:CornellLabOfOrnithology:EBIRD:OBS184049676,-4.4948845,-79.1325474,Lepidocolaptes lacrymiger,12/20/05,,,226697,2015-02-18 10:19:10.107835+00,2015-02-24 16:54:27.802396+00
URN:CornellLabOfOrnithology:EBIRD:OBS136190772,6.9682,-75.05304,Lepidocolaptes lacrymiger,8/25/06,,,229744,2015-02-18 10:19:10.107835+00,2015-02-24 16:54:27.802396+00
URN:CornellLabOfOrnithology:EBIRD:OBS147573306,-3.648443,-79.75561,Lepidocolaptes lacrymiger,9/16/06,,,230158,2015-02-18 10:19:10.107835+00,2015-02-24 16:54:27.802396+00
URN:CornellLabOfOrnithology:EBIRD:OBS247502539,-0.017452,-78.683279,Lepidocolaptes lacrymiger,2/11/06,2.414,,232280,2015-02-18 10:19:10.107835+00,2015-02-24 16:54:27.802396+00
URN:CornellLabOfOrnithology:EBIRD:OBS47322079,-4.4948845,-79.1325474,Lepidocolaptes lacrymiger,9/12/06,6.437,,232535,2015-02-18 10:19:10.107835+00,2015-02-24 16:54:27.802396+00
